radius,outer,inner,clean_choice,sr_choice
0.0,11,11,HistGB,HistGB
0.0,11,12,HistGB,HistGB
0.0,11,13,HistGB,HistGB
0.0,11,14,HistGB,HistGB
0.0,12,0,HistGB,HistGB
0.0,12,1,HistGB,HistGB
0.0,12,2,HistGB,HistGB
0.0,12,3,HistGB,HistGB
0.0,12,4,HistGB,HistGB
0.0,12,5,HistGB,HistGB
0.0,12,6,HistGB,HistGB
0.0,12,7,HistGB,HistGB
0.0,12,8,HistGB,HistGB
0.0,12,9,HistGB,HistGB
0.0,12,10,HistGB,HistGB
0.0,12,11,HistGB,HistGB
0.0,12,12,HistGB,HistGB
0.0,12,13,HistGB,HistGB
0.0,12,14,HistGB,HistGB
0.0,13,0,HistGB,HistGB
0.0,13,1,HistGB,HistGB
0.0,13,2,HistGB,HistGB
0.0,13,3,HistGB,HistGB
0.0,13,4,HistGB,HistGB
0.0,13,5,HistGB,HistGB
0.0,13,6,HistGB,HistGB
0.0,13,7,HistGB,HistGB
0.0,13,8,HistGB,HistGB
0.0,13,9,HistGB,HistGB
0.0,13,10,HistGB,HistGB
0.0,13,11,HistGB,HistGB
0.0,13,12,HistGB,HistGB
0.0,13,13,HistGB,HistGB
0.0,13,14,HistGB,HistGB
0.0,14,0,HistGB,HistGB
0.0,14,1,HistGB,HistGB
0.0,14,2,HistGB,HistGB
0.0,14,3,HistGB,HistGB
0.0,14,4,HistGB,HistGB
0.0,14,5,HistGB,HistGB
0.0,14,6,HistGB,HistGB
0.0,14,7,HistGB,HistGB
0.0,14,8,HistGB,HistGB
0.0,14,9,HistGB,HistGB
0.0,14,10,HistGB,HistGB
0.0,14,11,HistGB,HistGB
0.0,14,12,HistGB,HistGB
0.0,14,13,HistGB,HistGB
0.0,14,14,HistGB,HistGB
0.0,15,0,HistGB,HistGB
0.0,15,1,HistGB,HistGB
0.0,15,2,HistGB,HistGB
0.0,15,3,HistGB,HistGB
0.0,15,4,HistGB,HistGB
0.0,15,5,HistGB,HistGB
0.0,15,6,HistGB,HistGB
0.0,15,7,HistGB,HistGB
0.0,15,8,HistGB,HistGB
0.0,15,9,HistGB,HistGB
0.0,15,10,HistGB,HistGB
0.0,15,11,HistGB,HistGB
0.0,15,12,HistGB,HistGB
0.0,15,13,HistGB,HistGB
0.0,15,14,HistGB,HistGB
0.0,16,0,HistGB,HistGB
0.0,16,1,HistGB,HistGB
0.0,16,2,HistGB,HistGB
0.0,16,3,HistGB,HistGB
0.0,16,4,HistGB,HistGB
0.0,16,5,HistGB,HistGB
0.0,16,6,HistGB,HistGB
0.0,16,7,HistGB,HistGB
0.0,16,8,HistGB,HistGB
0.0,16,9,HistGB,HistGB
0.0,16,10,HistGB,HistGB
0.0,16,11,HistGB,HistGB
0.0,16,12,HistGB,HistGB
0.0,16,13,HistGB,HistGB
0.0,16,14,HistGB,HistGB
0.0,17,0,HistGB,HistGB
0.0,17,1,HistGB,HistGB
0.0,17,2,HistGB,HistGB
0.0,17,3,HistGB,HistGB
0.0,17,4,HistGB,HistGB
0.0,17,5,HistGB,HistGB
0.0,17,6,HistGB,HistGB
0.0,17,7,HistGB,HistGB
0.0,17,8,HistGB,HistGB
0.0,17,9,HistGB,HistGB
0.0,17,10,HistGB,HistGB
0.0,17,11,HistGB,HistGB
0.0,17,12,HistGB,HistGB
0.0,17,13,HistGB,HistGB
0.0,17,14,HistGB,HistGB
0.0,18,0,HistGB,HistGB
0.0,18,1,HistGB,HistGB
0.0,18,2,HistGB,HistGB
0.0,18,3,HistGB,HistGB
0.0,18,4,HistGB,HistGB
0.0,18,5,HistGB,HistGB
0.0,18,6,HistGB,HistGB
0.0,18,7,HistGB,HistGB
0.0,18,8,HistGB,HistGB
0.0,18,9,HistGB,HistGB
0.0,18,10,HistGB,HistGB
0.0,18,11,HistGB,HistGB
0.0,18,12,HistGB,HistGB
0.0,18,13,HistGB,HistGB
0.0,18,14,HistGB,HistGB
0.0,19,0,HistGB,HistGB
0.0,19,1,HistGB,HistGB
0.0,19,2,HistGB,HistGB
0.0,19,3,HistGB,HistGB
0.0,19,4,HistGB,HistGB
0.0,19,5,HistGB,HistGB
0.0,19,6,HistGB,HistGB
0.0,19,7,HistGB,HistGB
0.0,19,8,HistGB,HistGB
0.0,19,9,HistGB,HistGB
0.0,19,10,HistGB,HistGB
0.0,19,11,HistGB,HistGB
0.0,19,12,HistGB,HistGB
0.0,19,13,HistGB,HistGB
0.0,19,14,HistGB,HistGB
0.0,20,0,HistGB,HistGB
0.0,20,1,HistGB,HistGB
0.0,20,2,HistGB,HistGB
0.0,20,3,HistGB,HistGB
0.0,20,4,HistGB,HistGB
0.0,20,5,HistGB,HistGB
0.0,20,6,HistGB,HistGB
0.0,20,7,HistGB,HistGB
0.0,20,8,HistGB,HistGB
0.0,20,9,HistGB,HistGB
0.0,20,10,HistGB,HistGB
0.0,20,11,HistGB,HistGB
0.0,20,12,HistGB,HistGB
0.0,20,13,HistGB,HistGB
0.0,20,14,HistGB,HistGB
0.0,21,0,HistGB,HistGB
0.0,21,1,HistGB,HistGB
0.0,21,2,HistGB,HistGB
0.0,21,3,HistGB,HistGB
0.0,21,4,HistGB,HistGB
0.0,21,5,HistGB,HistGB
0.0,21,6,HistGB,HistGB
0.0,21,7,HistGB,HistGB
0.0,21,8,HistGB,HistGB
0.0,21,9,HistGB,HistGB
0.0,21,10,HistGB,HistGB
0.0,21,11,HistGB,HistGB
0.0,21,12,HistGB,HistGB
0.0,21,13,HistGB,HistGB
0.0,21,14,HistGB,HistGB
0.0,22,0,HistGB,HistGB
0.0,22,1,HistGB,HistGB
0.0,22,2,HistGB,HistGB
0.0,22,3,HistGB,HistGB
0.0,22,4,HistGB,HistGB
0.0,22,5,HistGB,HistGB
0.0,22,6,HistGB,HistGB
0.0,22,7,HistGB,HistGB
0.0,22,8,HistGB,HistGB
0.0,22,9,HistGB,HistGB
0.0,22,10,HistGB,HistGB
0.0,22,11,HistGB,HistGB
0.0,22,12,HistGB,HistGB
0.0,22,13,HistGB,HistGB
0.0,22,14,HistGB,HistGB
0.0,23,0,HistGB,HistGB
0.0,23,1,HistGB,HistGB
0.0,23,2,HistGB,HistGB
0.0,23,3,HistGB,HistGB
0.0,23,4,HistGB,HistGB
0.0,23,5,HistGB,HistGB
0.0,23,6,HistGB,HistGB
0.0,23,7,HistGB,HistGB
0.0,23,8,HistGB,HistGB
0.0,23,9,HistGB,HistGB
0.0,23,10,HistGB,HistGB
0.0,23,11,HistGB,HistGB
0.0,23,12,HistGB,HistGB
0.0,23,13,HistGB,HistGB
0.0,23,14,HistGB,HistGB
0.0,24,0,HistGB,HistGB
0.0,24,1,HistGB,HistGB
0.0,24,2,HistGB,HistGB
0.0,24,3,HistGB,HistGB
0.0,24,4,HistGB,HistGB
0.0,24,5,HistGB,HistGB
0.0,24,6,HistGB,HistGB
0.0,24,7,HistGB,HistGB
0.0,24,8,HistGB,HistGB
0.0,24,9,HistGB,HistGB
0.0,24,10,HistGB,HistGB
0.0,24,11,HistGB,HistGB
0.0,24,12,HistGB,HistGB
0.0,24,13,HistGB,HistGB
0.0,24,14,HistGB,HistGB
0.025,0,0,HistGB,HistGB
0.025,0,1,HistGB,HistGB
0.025,0,2,HistGB,HistGB
0.025,0,3,HistGB,HistGB
0.025,0,4,HistGB,HistGB
0.025,0,5,HistGB,HistGB
0.025,0,6,HistGB,HistGB
0.025,0,7,HistGB,HistGB
0.025,0,8,HistGB,HistGB
0.025,0,9,HistGB,HistGB
0.025,0,10,HistGB,HistGB
0.025,0,11,HistGB,HistGB
0.025,0,12,HistGB,HistGB
0.025,0,13,HistGB,HistGB
0.025,0,14,HistGB,HistGB
0.025,1,0,HistGB,HistGB
0.025,1,1,HistGB,HistGB
0.025,1,2,HistGB,HistGB
0.025,1,3,HistGB,HistGB
0.025,1,4,HistGB,HistGB
0.025,1,5,HistGB,HistGB
0.025,1,6,HistGB,HistGB
0.025,1,7,HistGB,HistGB
0.025,1,8,HistGB,HistGB
0.025,1,9,HistGB,HistGB
0.025,1,10,HistGB,HistGB
0.025,1,11,HistGB,HistGB
0.025,1,12,HistGB,HistGB
0.025,1,13,HistGB,HistGB
0.025,1,14,HistGB,HistGB
0.025,2,0,HistGB,HistGB
0.025,2,1,HistGB,HistGB
0.025,2,2,HistGB,HistGB
0.025,2,3,HistGB,HistGB
0.025,2,4,HistGB,HistGB
0.025,2,5,HistGB,HistGB
0.025,2,6,HistGB,HistGB
0.025,2,7,HistGB,HistGB
0.025,2,8,HistGB,HistGB
0.025,2,9,HistGB,HistGB
0.025,2,10,HistGB,HistGB
0.025,2,11,HistGB,HistGB
0.025,2,12,HistGB,HistGB
0.025,2,13,HistGB,HistGB
0.025,2,14,HistGB,HistGB
0.025,3,0,HistGB,HistGB
0.025,3,1,HistGB,HistGB
0.025,3,2,HistGB,HistGB
0.025,3,3,HistGB,HistGB
0.025,3,4,HistGB,HistGB
0.025,3,5,HistGB,HistGB
0.025,3,6,HistGB,HistGB
0.025,3,7,HistGB,HistGB
0.025,3,8,HistGB,HistGB
0.025,3,9,HistGB,HistGB
0.025,3,10,HistGB,HistGB
0.025,3,11,HistGB,HistGB
0.025,3,12,HistGB,HistGB
0.025,3,13,HistGB,HistGB
0.025,3,14,HistGB,HistGB
0.025,4,0,HistGB,HistGB
0.025,4,1,HistGB,HistGB
0.025,4,2,HistGB,HistGB
0.025,4,3,HistGB,HistGB
0.025,4,4,HistGB,HistGB
0.025,4,5,HistGB,HistGB
0.025,4,6,HistGB,HistGB
0.025,4,7,HistGB,HistGB
0.025,4,8,HistGB,HistGB
0.025,4,9,HistGB,HistGB
0.025,4,10,HistGB,HistGB
0.025,4,11,HistGB,HistGB
0.025,4,12,HistGB,HistGB
0.025,4,13,HistGB,HistGB
0.025,4,14,HistGB,HistGB
0.025,5,0,HistGB,HistGB
0.025,5,1,HistGB,HistGB
0.025,5,2,HistGB,HistGB
0.025,5,3,HistGB,HistGB
0.025,5,4,HistGB,HistGB
0.025,5,5,HistGB,HistGB
0.025,5,6,HistGB,HistGB
0.025,5,7,HistGB,HistGB
0.025,5,8,HistGB,HistGB
0.025,5,9,HistGB,HistGB
0.025,5,10,HistGB,HistGB
0.025,5,11,HistGB,HistGB
0.025,5,12,HistGB,HistGB
0.025,5,13,HistGB,HistGB
0.025,5,14,HistGB,HistGB
0.025,6,0,HistGB,HistGB
0.025,6,1,HistGB,HistGB
0.025,6,2,HistGB,HistGB
0.025,6,3,HistGB,HistGB
0.025,6,4,HistGB,HistGB
0.025,6,5,HistGB,HistGB
0.025,6,6,HistGB,HistGB
0.025,6,7,HistGB,HistGB
0.025,6,8,HistGB,HistGB
0.025,6,9,HistGB,HistGB
0.025,6,10,HistGB,HistGB
0.025,6,11,HistGB,HistGB
0.025,6,12,HistGB,HistGB
0.025,6,13,HistGB,HistGB
0.025,6,14,HistGB,HistGB
0.025,7,0,HistGB,HistGB
0.025,7,1,HistGB,HistGB
0.025,7,2,HistGB,HistGB
0.025,7,3,HistGB,HistGB
0.025,7,4,HistGB,HistGB
0.025,7,5,HistGB,HistGB
0.025,7,6,HistGB,HistGB
0.025,7,7,HistGB,HistGB
0.025,7,8,HistGB,HistGB
0.025,7,9,HistGB,HistGB
0.025,7,10,HistGB,HistGB
0.025,7,11,HistGB,HistGB
0.025,7,12,HistGB,HistGB
0.025,7,13,HistGB,HistGB
0.025,7,14,HistGB,HistGB
0.025,8,0,HistGB,HistGB
0.025,8,1,HistGB,HistGB
0.025,8,2,HistGB,HistGB
0.025,8,3,HistGB,HistGB
0.025,8,4,HistGB,HistGB
0.025,8,5,HistGB,HistGB
0.025,8,6,HistGB,HistGB
0.025,8,7,HistGB,HistGB
0.025,8,8,HistGB,HistGB
0.025,8,9,HistGB,HistGB
0.025,8,10,HistGB,HistGB
0.025,8,11,HistGB,HistGB
0.025,8,12,HistGB,HistGB
0.025,8,13,HistGB,HistGB
0.025,8,14,HistGB,HistGB
0.025,9,0,HistGB,HistGB
0.025,9,1,HistGB,HistGB
0.025,9,2,HistGB,HistGB
0.025,9,3,HistGB,HistGB
0.025,9,4,HistGB,HistGB
0.025,9,5,HistGB,HistGB
0.025,9,6,HistGB,HistGB
0.025,9,7,HistGB,HistGB
0.025,9,8,HistGB,HistGB
0.025,9,9,HistGB,HistGB
0.025,9,10,HistGB,HistGB
0.025,9,11,HistGB,HistGB
0.025,9,12,HistGB,HistGB
0.025,9,13,HistGB,HistGB
0.025,9,14,HistGB,HistGB
0.025,10,0,HistGB,HistGB
0.025,10,1,HistGB,HistGB
0.025,10,2,HistGB,HistGB
0.025,10,3,HistGB,HistGB
0.025,10,4,HistGB,HistGB
0.025,10,5,HistGB,HistGB
0.025,10,6,HistGB,HistGB
0.025,10,7,HistGB,HistGB
0.025,10,8,HistGB,HistGB
0.025,10,9,HistGB,HistGB
0.025,10,10,HistGB,HistGB
0.025,10,11,HistGB,HistGB
0.025,10,12,HistGB,HistGB
