radius,outer,clean_final_choice,sr_final_choice,oracle_choice,clean_test_sr,sr_test_sr,oracle_test_sr,clean_regret,sr_regret,clean_oracle_match,sr_oracle_match,test_sr_OLS,test_sr_RidgeCV,test_sr_LassoCV,test_sr_KNN,test_sr_RandomForest,test_sr_HistGB,clean_vote_OLS,clean_vote_RidgeCV,clean_vote_LassoCV,clean_vote_KNN,clean_vote_RandomForest,clean_vote_HistGB,sr_vote_OLS,sr_vote_RidgeCV,sr_vote_LassoCV,sr_vote_KNN,sr_vote_RandomForest,sr_vote_HistGB
0.0,0,HistGB,HistGB,HistGB,11.760155104475219,11.760155104475219,11.760155104475219,0.0,0.0,1,1,20.561485599673052,20.561550189921693,20.56134918953141,16.712860826663256,15.021511178214515,11.760155104475219,0,0,0,0,0,15,0,0,0,0,0,15
0.0,1,HistGB,HistGB,HistGB,13.73168860179165,13.73168860179165,13.73168860179165,0.0,0.0,1,1,22.234696738811987,22.2344588144965,22.2343879384934,18.554607271747013,17.094931281070952,13.73168860179165,0,0,0,0,0,15,0,0,0,0,0,15
0.0,2,HistGB,HistGB,HistGB,12.032461022034239,12.032461022034239,12.032461022034239,0.0,0.0,1,1,20.560486310199966,20.560912557965725,20.560808701231192,17.294565601799835,14.905902093243498,12.032461022034239,0,0,0,0,0,15,0,0,0,0,0,15
0.0,3,HistGB,HistGB,HistGB,12.507296971676508,12.507296971676508,12.507296971676508,0.0,0.0,1,1,20.229018760575247,20.22905673211694,20.229321557741375,17.083764160481746,15.698783372543698,12.507296971676508,0,0,0,0,0,15,0,0,0,0,0,15
0.0,4,HistGB,HistGB,HistGB,11.663767967150225,11.663767967150225,11.663767967150225,0.0,0.0,1,1,20.550562928808915,20.551248270061386,20.55079644560702,17.097545822077784,14.939391802679976,11.663767967150225,0,0,0,0,0,15,0,0,0,0,0,15
0.0,5,HistGB,HistGB,HistGB,12.788000461342667,12.788000461342667,12.788000461342667,0.0,0.0,1,1,21.294117891418804,21.294539561234735,21.294332514363994,17.909664222574467,15.878629438730396,12.788000461342667,0,0,0,0,0,15,0,0,0,0,0,15
0.0,6,HistGB,HistGB,HistGB,15.137088661400586,15.137088661400586,15.137088661400586,0.0,0.0,1,1,23.326479892478957,23.325745380301193,23.326712622508445,18.91809526396279,18.12905686908063,15.137088661400586,0,0,0,0,0,15,0,0,0,0,0,15
0.0,7,HistGB,HistGB,HistGB,11.832086758523523,11.832086758523523,11.832086758523523,0.0,0.0,1,1,19.694983736616813,19.694212896744762,19.69523901861261,16.401418327290294,14.746119257824855,11.832086758523523,0,0,0,0,0,15,0,0,0,0,0,15
0.0,8,HistGB,HistGB,HistGB,11.80698803744633,11.80698803744633,11.80698803744633,0.0,0.0,1,1,19.888578207747905,19.888646148707434,19.888937278199112,16.860979045119617,14.8460465528431,11.80698803744633,0,0,0,0,0,15,0,0,0,0,0,15
0.0,9,HistGB,HistGB,HistGB,12.556532991757797,12.556532991757797,12.556532991757797,0.0,0.0,1,1,21.2065472131719,21.206894950756297,21.206533848764625,18.208051796429306,15.687411194382394,12.556532991757797,0,0,0,0,0,15,0,0,0,0,0,15
0.0,10,HistGB,HistGB,HistGB,12.006766732493656,12.006766732493656,12.006766732493656,0.0,0.0,1,1,20.640225625501323,20.64036598917804,20.640266527125156,17.662682533055555,15.084869606529411,12.006766732493656,0,0,0,0,0,15,0,0,0,0,0,15
0.0,11,HistGB,HistGB,HistGB,11.346172695771271,11.346172695771271,11.346172695771271,0.0,0.0,1,1,20.104346405165874,20.104816546742185,20.1046514126272,17.126978919479217,14.42035185285255,11.346172695771271,0,0,0,0,0,15,0,0,0,0,0,15
0.0,12,HistGB,HistGB,HistGB,11.53607012306929,11.53607012306929,11.53607012306929,0.0,0.0,1,1,20.31494294091038,20.31492175095785,20.315131908153614,16.711416334917228,14.672999172572515,11.53607012306929,0,0,0,0,0,15,0,0,0,0,0,15
0.0,13,HistGB,HistGB,HistGB,12.501230435307573,12.501230435307573,12.501230435307573,0.0,0.0,1,1,21.067288238256207,21.067787795617612,21.06554469936371,18.31367704428567,15.564684700132855,12.501230435307573,0,0,0,0,0,15,0,0,0,0,0,15
0.0,14,HistGB,HistGB,HistGB,12.374390426143172,12.374390426143172,12.374390426143172,0.0,0.0,1,1,21.193621437730442,21.19354720008292,21.19322066191318,17.8750387525064,15.580084096688989,12.374390426143172,0,0,0,0,0,15,0,0,0,0,0,15
0.0,15,HistGB,HistGB,HistGB,12.425630433445933,12.425630433445933,12.425630433445933,0.0,0.0,1,1,20.580666062976277,20.580477754614403,20.580834555340896,17.154024846008546,15.35665477958914,12.425630433445933,0,0,0,0,0,15,0,0,0,0,0,15
0.0,16,HistGB,HistGB,HistGB,13.092049300369299,13.092049300369299,13.092049300369299,0.0,0.0,1,1,21.750843148725266,21.750501829454233,21.75077724144625,17.942796416201624,16.173253954867366,13.092049300369299,0,0,0,0,0,15,0,0,0,0,0,15
0.0,17,HistGB,HistGB,HistGB,14.474854688524557,14.474854688524557,14.474854688524557,0.0,0.0,1,1,22.123134638282878,22.122704716501428,22.12217236788052,19.164317183569533,17.655053324123227,14.474854688524557,0,0,0,0,0,15,0,0,0,0,0,15
0.0,18,HistGB,HistGB,HistGB,12.72431903276434,12.72431903276434,12.72431903276434,0.0,0.0,1,1,20.42370252602718,20.423443769038386,20.423998661142246,17.532936016468177,15.732452956038294,12.72431903276434,0,0,0,0,0,15,0,0,0,0,0,15
0.0,19,HistGB,HistGB,HistGB,12.38932481964971,12.38932481964971,12.38932481964971,0.0,0.0,1,1,21.202296623260146,21.202149801215388,21.202381051979224,17.274932376884575,15.665882190371697,12.38932481964971,0,0,0,0,0,15,0,0,0,0,0,15
0.0,20,HistGB,HistGB,HistGB,13.18137194824744,13.18137194824744,13.18137194824744,0.0,0.0,1,1,21.547146773673425,21.547143391693385,21.547191682257584,18.07931347354128,16.26054469750337,13.18137194824744,0,0,0,0,0,15,0,0,0,0,0,15
0.0,21,HistGB,HistGB,HistGB,13.996657000066353,13.996657000066353,13.996657000066353,0.0,0.0,1,1,22.24111787420444,22.241455266084344,22.241304007634415,19.158311701142612,16.919600092536964,13.996657000066353,0,0,0,0,0,15,0,0,0,0,0,15
0.0,22,HistGB,HistGB,HistGB,13.811627922541728,13.811627922541728,13.811627922541728,0.0,0.0,1,1,21.852484951612574,21.85276595503358,21.853239777114634,18.441009499620222,16.66938802967055,13.811627922541728,0,0,0,0,0,15,0,0,0,0,0,15
0.0,23,HistGB,HistGB,HistGB,13.328737828660241,13.328737828660241,13.328737828660241,0.0,0.0,1,1,21.42672892659948,21.426697579800027,21.426172371265583,18.63753147195054,16.37076992079601,13.328737828660241,0,0,0,0,0,15,0,0,0,0,0,15
0.0,24,HistGB,HistGB,HistGB,13.136467261751262,13.136467261751262,13.136467261751262,0.0,0.0,1,1,21.690567284811312,21.690863505518863,21.689224914787737,18.530273423408048,16.249751682558433,13.136467261751262,0,0,0,0,0,15,0,0,0,0,0,15
0.025,0,HistGB,HistGB,HistGB,13.790624657970188,13.790624657970188,13.790624657970188,0.0,0.0,1,1,20.589651606515634,20.5896861361903,20.589513829847117,16.79379038457811,15.396293647582617,13.790624657970188,0,0,0,0,0,15,0,0,0,0,0,15
0.025,1,HistGB,HistGB,HistGB,15.569190624933023,15.569190624933023,15.569190624933023,0.0,0.0,1,1,22.285100757192563,22.28480564536642,22.284793787594086,18.644386250237933,17.48848106798731,15.569190624933023,0,0,0,0,0,15,0,0,0,0,0,15
0.025,2,HistGB,HistGB,HistGB,14.088427543524208,14.088427543524208,14.088427543524208,0.0,0.0,1,1,20.63685715406291,20.637240922870596,20.63716126336187,17.40844408082005,15.34131617294459,14.088427543524208,0,0,0,0,0,15,0,0,0,0,0,15
0.025,3,HistGB,HistGB,HistGB,14.466111791412365,14.466111791412365,14.466111791412365,0.0,0.0,1,1,20.277478841994455,20.2774982854079,20.277769906656243,17.18234353972315,16.009306629273443,14.466111791412365,0,0,0,0,0,15,0,0,0,0,0,15
0.025,4,HistGB,HistGB,HistGB,13.735054816062018,13.735054816062018,13.735054816062018,0.0,0.0,1,1,20.603324034344777,20.60398162331394,20.60355270171649,17.200604715351112,15.364243200882632,13.735054816062018,0,0,0,0,0,15,0,0,0,0,0,15
0.025,5,HistGB,HistGB,HistGB,14.867893327492942,14.867893327492942,14.867893327492942,0.0,0.0,1,1,21.336293637676825,21.336683562103666,21.33650426489387,18.03232002466543,16.2788752351348,14.867893327492942,0,0,0,0,0,15,0,0,0,0,0,15
0.025,6,HistGB,HistGB,HistGB,17.17176789089314,17.17176789089314,17.17176789089314,0.0,0.0,1,1,23.371519606188475,23.370751587482616,23.37174038889425,19.050968396735673,18.501169931430777,17.17176789089314,0,0,0,0,0,15,0,0,0,0,0,15
0.025,7,HistGB,HistGB,HistGB,13.928703035242147,13.928703035242147,13.928703035242147,0.0,0.0,1,1,19.737299304055174,19.73650637711615,19.7375575677792,16.51491861598398,15.106277316314728,13.928703035242147,0,0,0,0,0,15,0,0,0,0,0,15
0.025,8,HistGB,HistGB,HistGB,14.035703406909802,14.035703406909802,14.035703406909802,0.0,0.0,1,1,19.902592208248382,19.902647996811353,19.90294903437412,16.948554250638526,15.329942988688535,14.035703406909802,0,0,0,0,0,15,0,0,0,0,0,15
0.025,9,HistGB,HistGB,HistGB,14.77125823960297,14.77125823960297,14.77125823960297,0.0,0.0,1,1,21.2578486468994,21.25818473704115,21.25783628411168,18.322813115694633,16.150797869013818,14.77125823960297,0,0,0,0,0,15,0,0,0,0,0,15
0.025,10,HistGB,HistGB,HistGB,14.180458644223837,14.180458644223837,14.180458644223837,0.0,0.0,1,1,20.712636842866665,20.7127603805726,20.712672699329637,17.800550289558565,15.540907576917146,14.180458644223837,0,0,0,0,0,15,0,0,0,0,0,15
0.025,11,HistGB,HistGB,HistGB,13.50742579877159,13.50742579877159,13.50742579877159,0.0,0.0,1,1,20.135591540647635,20.136039708170106,20.135894443371818,17.229563111821,14.804284925565536,13.50742579877159,0,0,0,0,0,15,0,0,0,0,0,15
0.025,12,HistGB,HistGB,HistGB,13.758001907403685,13.758001907403685,13.758001907403685,0.0,0.0,1,1,20.380557797498394,20.38051530778652,20.38074125402343,16.827734555015816,15.035359579276719,13.758001907403685,0,0,0,0,0,15,0,0,0,0,0,15
0.025,13,HistGB,HistGB,HistGB,14.626656518553975,14.626656518553975,14.626656518553975,0.0,0.0,1,1,21.12384707566905,21.12431074924698,21.122100649502332,18.40566096022652,15.874698065558666,14.626656518553975,0,0,0,0,0,15,0,0,0,0,0,15
0.025,14,HistGB,HistGB,HistGB,14.533640708116963,14.533640708116963,14.533640708116963,0.0,0.0,1,1,21.229315771707533,21.229220477862118,21.22891640762448,17.992725973192467,15.977220361707065,14.533640708116963,0,0,0,0,0,15,0,0,0,0,0,15
0.025,15,HistGB,HistGB,HistGB,14.46272762558578,14.46272762558578,14.46272762558578,0.0,0.0,1,1,20.634489208729917,20.63426641821826,20.634656055415658,17.28838926437569,15.764076346146236,14.46272762558578,0,0,0,0,0,15,0,0,0,0,0,15
0.025,16,HistGB,HistGB,HistGB,15.171306018649071,15.171306018649071,15.171306018649071,0.0,0.0,1,1,21.794714608136918,21.79436199785581,21.79464302407125,18.070556963880964,16.573072642907732,15.171306018649071,0,0,0,0,0,15,0,0,0,0,0,15
0.025,17,HistGB,HistGB,HistGB,16.52161216946523,16.52161216946523,16.52161216946523,0.0,0.0,1,1,22.19345721183721,22.19300338239846,22.19251149773405,19.30686133645113,18.064203433263003,16.52161216946523,0,0,0,0,0,15,0,0,0,0,0,15
0.025,18,HistGB,HistGB,HistGB,14.780199693916027,14.780199693916027,14.780199693916027,0.0,0.0,1,1,20.46805087810539,20.46778361700635,20.468355876554163,17.63792841663326,16.177311884231408,14.780199693916027,0,0,0,0,0,15,0,0,0,0,0,15
0.025,19,HistGB,HistGB,HistGB,14.493836285631525,14.493836285631525,14.493836285631525,0.0,0.0,1,1,21.249660841290922,21.249492296417316,21.2497438669158,17.372599683056805,16.086903867332612,14.493836285631525,0,0,0,0,0,15,0,0,0,0,0,15
0.025,20,HistGB,HistGB,HistGB,15.368108126940594,15.368108126940594,15.368108126940594,0.0,0.0,1,1,21.60318560425214,21.603145954122244,21.603229743674365,18.178895905265563,16.632106549969926,15.368108126940594,0,0,0,0,0,15,0,0,0,0,0,15
0.025,21,HistGB,HistGB,HistGB,16.055770073743247,16.055770073743247,16.055770073743247,0.0,0.0,1,1,22.306324420491027,22.306629473608083,22.306504777106625,19.25557234649906,17.36132977874308,16.055770073743247,0,0,0,0,0,15,0,0,0,0,0,15
0.025,22,HistGB,HistGB,HistGB,15.713546741354476,15.713546741354476,15.713546741354476,0.0,0.0,1,1,21.906271248723087,21.90652387919001,21.907026348873657,18.566793121873634,17.051682850264438,15.713546741354476,0,0,0,0,0,15,0,0,0,0,0,15
0.025,23,HistGB,HistGB,HistGB,15.55503612142687,15.55503612142687,15.55503612142687,0.0,0.0,1,1,21.47775839999658,21.477717363519314,21.477187926586808,18.77027097829567,16.79268312066264,15.55503612142687,0,0,0,0,0,15,0,0,0,0,0,15
0.025,24,HistGB,HistGB,HistGB,15.081413399945886,15.081413399945886,15.081413399945886,0.0,0.0,1,1,21.739623333670167,21.739908537913454,21.73828588441237,18.665538668244782,16.634274657195856,15.081413399945886,0,0,0,0,0,15,0,0,0,0,0,15
0.05,0,HistGB,HistGB,HistGB,14.843939848664137,14.843939848664137,14.843939848664137,0.0,0.0,1,1,20.745389009160366,20.745402234880043,20.74526041804112,17.00385051983221,15.764762752646122,14.843939848664137,0,0,0,0,0,15,0,0,0,0,0,15
0.05,1,HistGB,HistGB,HistGB,16.677985485307932,16.677985485307932,16.677985485307932,0.0,0.0,1,1,22.420576851001503,22.420167450637326,22.420284530340084,18.841054718492614,17.91996300527938,16.677985485307932,0,0,0,0,0,15,0,0,0,0,0,15
0.05,2,HistGB,HistGB,HistGB,15.350361628676213,15.350361628676213,15.350361628676213,0.0,0.0,1,1,20.71942110886546,20.719747130300206,20.71973513045027,17.615813207615084,15.794889397262446,15.350361628676213,0,0,0,0,0,15,0,0,0,0,0,15
0.05,3,HistGB,HistGB,HistGB,15.445433338307444,15.445433338307444,15.445433338307444,0.0,0.0,1,1,20.429216006431282,20.429197270221223,20.42949910936143,17.36592163849108,16.343747536320862,15.445433338307444,0,0,0,0,0,15,0,0,0,0,0,15
0.05,4,HistGB,HistGB,HistGB,14.913263486245233,14.913263486245233,14.913263486245233,0.0,0.0,1,1,20.714018856650004,20.71463392064889,20.714256422515525,17.395162529536027,15.701455445555261,14.913263486245233,0,0,0,0,0,15,0,0,0,0,0,15
