selector,r_eval,r_val_left,r_val_right,outer_repeats,same_selection_rate,same_selection_mcse
clean,0.0,0.195,0.2,25,1.0,0.0
clean,0.025,0.195,0.2,25,1.0,0.0
clean,0.1,0.195,0.2,25,1.0,0.0
clean,0.15,0.195,0.2,25,1.0,0.0
clean,0.19,0.195,0.2,25,1.0,0.0
clean,0.2,0.195,0.2,25,1.0,0.0
clean,0.21,0.195,0.2,25,1.0,0.0
clean,0.24,0.195,0.2,25,1.0,0.0
clean,0.32,0.195,0.2,25,1.0,0.0
clean,0.4,0.195,0.2,25,1.0,0.0
clean,0.5,0.195,0.2,25,1.0,0.0
clean,0.0,0.2,0.205,25,1.0,0.0
clean,0.025,0.2,0.205,25,1.0,0.0
clean,0.1,0.2,0.205,25,1.0,0.0
clean,0.15,0.2,0.205,25,1.0,0.0
clean,0.19,0.2,0.205,25,1.0,0.0
clean,0.2,0.2,0.205,25,1.0,0.0
clean,0.21,0.2,0.205,25,1.0,0.0
clean,0.24,0.2,0.205,25,1.0,0.0
clean,0.32,0.2,0.205,25,1.0,0.0
clean,0.4,0.2,0.205,25,1.0,0.0
clean,0.5,0.2,0.205,25,1.0,0.0
clean,0.0,0.205,0.21,25,1.0,0.0
clean,0.025,0.205,0.21,25,1.0,0.0
clean,0.1,0.205,0.21,25,1.0,0.0
clean,0.15,0.205,0.21,25,1.0,0.0
clean,0.19,0.205,0.21,25,1.0,0.0
clean,0.2,0.205,0.21,25,1.0,0.0
clean,0.21,0.205,0.21,25,1.0,0.0
clean,0.24,0.205,0.21,25,1.0,0.0
clean,0.32,0.205,0.21,25,1.0,0.0
clean,0.4,0.205,0.21,25,1.0,0.0
clean,0.5,0.205,0.21,25,1.0,0.0
clean,0.0,0.21,0.22,25,1.0,0.0
clean,0.025,0.21,0.22,25,1.0,0.0
clean,0.1,0.21,0.22,25,1.0,0.0
clean,0.15,0.21,0.22,25,1.0,0.0
clean,0.19,0.21,0.22,25,1.0,0.0
clean,0.2,0.21,0.22,25,1.0,0.0
clean,0.21,0.21,0.22,25,1.0,0.0
clean,0.24,0.21,0.22,25,1.0,0.0
clean,0.32,0.21,0.22,25,1.0,0.0
clean,0.4,0.21,0.22,25,1.0,0.0
clean,0.5,0.21,0.22,25,1.0,0.0
clean,0.0,0.22,0.24,25,1.0,0.0
clean,0.025,0.22,0.24,25,1.0,0.0
clean,0.1,0.22,0.24,25,1.0,0.0
clean,0.15,0.22,0.24,25,1.0,0.0
clean,0.19,0.22,0.24,25,1.0,0.0
clean,0.2,0.22,0.24,25,1.0,0.0
clean,0.21,0.22,0.24,25,1.0,0.0
clean,0.24,0.22,0.24,25,1.0,0.0
clean,0.32,0.22,0.24,25,1.0,0.0
clean,0.4,0.22,0.24,25,1.0,0.0
clean,0.5,0.22,0.24,25,1.0,0.0
clean,0.0,0.24,0.27,25,1.0,0.0
clean,0.025,0.24,0.27,25,1.0,0.0
clean,0.1,0.24,0.27,25,1.0,0.0
clean,0.15,0.24,0.27,25,1.0,0.0
clean,0.19,0.24,0.27,25,1.0,0.0
clean,0.2,0.24,0.27,25,1.0,0.0
clean,0.21,0.24,0.27,25,1.0,0.0
clean,0.24,0.24,0.27,25,1.0,0.0
clean,0.32,0.24,0.27,25,1.0,0.0
clean,0.4,0.24,0.27,25,1.0,0.0
clean,0.5,0.24,0.27,25,1.0,0.0
clean,0.0,0.27,0.32,25,1.0,0.0
clean,0.025,0.27,0.32,25,1.0,0.0
clean,0.1,0.27,0.32,25,1.0,0.0
clean,0.15,0.27,0.32,25,1.0,0.0
clean,0.19,0.27,0.32,25,1.0,0.0
clean,0.2,0.27,0.32,25,1.0,0.0
clean,0.21,0.27,0.32,25,1.0,0.0
clean,0.24,0.27,0.32,25,1.0,0.0
clean,0.32,0.27,0.32,25,1.0,0.0
clean,0.4,0.27,0.32,25,1.0,0.0
clean,0.5,0.27,0.32,25,1.0,0.0
clean,0.0,0.32,0.4,25,1.0,0.0
clean,0.025,0.32,0.4,25,1.0,0.0
clean,0.1,0.32,0.4,25,1.0,0.0
clean,0.15,0.32,0.4,25,1.0,0.0
clean,0.19,0.32,0.4,25,1.0,0.0
clean,0.2,0.32,0.4,25,1.0,0.0
clean,0.21,0.32,0.4,25,1.0,0.0
clean,0.24,0.32,0.4,25,1.0,0.0
clean,0.32,0.32,0.4,25,1.0,0.0
clean,0.4,0.32,0.4,25,1.0,0.0
clean,0.5,0.32,0.4,25,1.0,0.0
clean,0.0,0.4,0.5,25,1.0,0.0
clean,0.025,0.4,0.5,25,1.0,0.0
clean,0.1,0.4,0.5,25,1.0,0.0
clean,0.15,0.4,0.5,25,1.0,0.0
clean,0.19,0.4,0.5,25,1.0,0.0
clean,0.2,0.4,0.5,25,1.0,0.0
clean,0.21,0.4,0.5,25,1.0,0.0
clean,0.24,0.4,0.5,25,1.0,0.0
clean,0.32,0.4,0.5,25,1.0,0.0
clean,0.4,0.4,0.5,25,1.0,0.0
clean,0.5,0.4,0.5,25,1.0,0.0
SRCV,0.0,0.0,0.025,25,1.0,0.0
